filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu20_wh5_mc200_bp256M_lb8_run5.log,5,I/O Test,26028,11439,64,"[0, 27138, 29334, 21498, 26604, 29082, 23664, 27342, 30288, 26064, 25068, 23328, 23340, 23010, 30336, 23712, 27576, 26586, 27576, 26220, 26184, 32580, 21396, 23820, 27414, 24648, 23640, 29112, 22464, 30216, 26838, 24366, 17448, 27366, 23256, 30654, 27978, 30774, 23112, 27906, 23814, 22086, 27012, 24264, 28998, 24336, 29040, 24114, 26556, 27366, 26694, 28098, 22626, 28608, 29508, 27990, 24858, 26898, 24330, 25440, 28362, 20694, 25830, 24828]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run1.log,4,Max CPU,72417,32038,64,"[0, 83370, 82164, 83112, 83154, 88902, 81510, 83136, 73734, 74838, 74382, 74400, 70176, 70158, 85002, 86364, 83346, 69996, 75210, 71976, 83076, 63354, 82656, 77700, 78660, 81180, 71148, 78876, 86196, 74238, 71190, 60246, 44028, 81672, 71844, 75684, 71952, 83820, 64182, 77172, 71766, 75690, 80964, 77412, 73146, 67302, 82872, 64446, 73914, 79746, 63282, 76380, 62580, 80310, 65856, 65346, 67176, 80526, 61806, 81912, 72312, 76200, 74394, 77100]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run2.log,4,Max CPU,66681,29591,65,"[0, 70014, 83160, 73656, 74052, 64368, 79362, 71736, 74868, 75666, 55542, 70434, 73038, 63576, 76182, 55086, 40266, 53616, 75306, 79074, 83724, 75438, 78276, 72078, 83886, 66324, 81678, 81138, 70608, 62382, 76242, 58794, 55314, 73146, 61392, 83664, 61998, 64218, 63246, 62406, 72732, 54084, 67290, 66030, 77052, 60870, 67860, 83502, 69414, 67524, 67362, 72360, 38652, 61710, 69786, 55626, 79674, 62820, 54618, 79704, 64008, 61470, 67320, 59388, 51798]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run3.log,4,Max CPU,65015,28706,65,"[0, 73782, 71982, 66912, 62148, 62748, 73380, 65916, 71604, 61578, 65850, 68586, 64194, 60204, 61716, 66228, 66528, 68922, 65322, 58608, 63666, 64104, 70968, 60036, 67008, 53130, 69606, 67032, 56880, 51534, 79266, 51648, 61176, 47400, 58326, 72150, 60216, 64308, 64356, 60852, 55200, 64272, 64830, 62406, 57012, 55836, 60312, 75030, 68052, 54576, 73356, 55944, 59586, 71892, 56856, 66594, 61962, 69714, 55650, 61692, 65628, 67824, 64926, 56484, 57588]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run4.log,4,Max CPU,63692,28103,65,"[0, 41538, 49950, 80340, 74604, 69138, 70050, 64734, 59394, 74910, 66936, 59010, 57096, 65280, 67476, 66258, 61020, 49398, 75054, 71250, 64770, 56586, 63624, 55014, 55008, 54942, 68148, 63792, 57552, 72348, 66918, 43056, 72654, 36414, 79074, 66678, 69360, 61104, 61308, 62388, 65586, 54678, 63282, 65874, 65934, 57576, 61602, 63642, 63870, 56442, 59934, 67014, 59814, 67194, 63018, 67464, 53226, 80034, 53004, 69300, 55896, 64086, 63498, 61926, 58812]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run5.log,4,Max CPU,63683,28122,65,"[0, 66570, 43284, 70482, 75432, 64260, 58146, 61338, 65406, 59058, 62958, 66024, 63798, 69468, 57102, 56646, 77424, 62778, 64572, 46200, 70050, 43710, 38526, 32700, 53148, 71640, 75162, 77496, 70440, 60744, 64578, 70932, 39288, 56112, 40092, 74796, 65142, 63300, 73230, 62046, 62226, 55026, 65484, 62016, 63516, 72684, 62406, 65118, 65874, 56568, 59166, 73956, 51654, 72426, 58032, 54732, 72912, 66630, 60144, 66702, 58338, 66516, 50166, 68076, 51852]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run1.log,7,Latency,21729,9361,31,"[0, 25506, 26364, 24210, 21210, 22554, 22698, 22344, 23244, 22656, 22386, 23004, 21474, 22374, 21492, 22758, 21204, 22722, 22380, 20556, 21852, 21516, 22734, 21198, 22980, 20922, 21414, 22380, 20232, 21870, 21768]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run2.log,7,Latency,20337,8775,31,"[0, 18360, 21234, 21438, 19794, 22500, 20982, 20490, 21246, 21882, 20268, 20082, 22182, 20604, 18738, 23364, 21546, 19380, 22818, 18690, 19764, 19266, 20670, 22596, 21198, 19608, 18636, 21948, 19644, 18750, 20202]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run3.log,7,Latency,18837,8062,31,"[0, 17922, 21444, 18588, 20028, 19224, 18054, 20622, 18600, 18522, 19176, 20904, 17964, 19260, 20130, 18012, 17514, 19116, 20994, 17736, 19866, 16740, 19620, 20514, 18024, 18510, 17526, 20946, 18588, 17142, 20490]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run4.log,7,Latency,18512,8040,31,"[0, 22752, 18510, 19134, 19992, 19524, 19206, 17988, 18936, 18246, 20460, 16494, 21048, 16638, 19464, 18432, 18354, 18912, 19374, 17010, 21228, 18318, 16752, 19368, 19272, 18630, 18366, 18558, 18072, 18408, 19032]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run5.log,7,Latency,17670,7601,31,"[0, 19650, 19188, 17328, 16476, 20442, 18756, 18702, 15972, 19476, 20634, 17292, 18000, 19056, 18114, 19560, 17508, 10680, 11220, 16698, 19290, 19062, 18900, 18198, 18714, 19176, 16236, 20460, 18624, 18162, 20010]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run1.log,1,Small,30060,12877,61,"[0, 23550, 25968, 27336, 30726, 30264, 26166, 33888, 30768, 29256, 30528, 28680, 27318, 21060, 25212, 29712, 29970, 25056, 31698, 21522, 26604, 30546, 24084, 25224, 25578, 26310, 24150, 28614, 24816, 32250, 29358, 17214, 31182, 27750, 32232, 33138, 33222, 31614, 33156, 30798, 29628, 30276, 33510, 31188, 33960, 29946, 34098, 25620, 33498, 30894, 31722, 31374, 29892, 29844, 29760, 32244, 28992, 29334, 29844, 27780, 29214]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run2.log,1,Small,28853,12387,61,"[0, 25068, 31704, 30822, 31182, 32940, 25902, 32016, 27366, 25482, 28722, 28254, 30102, 26946, 31098, 25014, 27498, 28710, 25422, 29946, 29418, 28188, 27228, 26694, 23556, 31746, 29574, 32358, 29748, 29034, 29424, 14484, 32310, 25656, 27684, 23814, 28656, 31422, 28680, 28710, 29478, 23826, 27498, 29106, 31092, 28992, 27420, 29136, 28440, 31080, 23310, 31668, 29604, 29202, 25026, 30240, 29556, 30204, 27120, 31038, 31542]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run3.log,1,Small,27660,11888,62,"[0, 27270, 30564, 26394, 28854, 31428, 27012, 25038, 30390, 32232, 31644, 24798, 28506, 26520, 25074, 28830, 23508, 29382, 31188, 27774, 31728, 26982, 26094, 27444, 31062, 29178, 27594, 29430, 28614, 28734, 25608, 18246, 26586, 29652, 28758, 25668, 25116, 30156, 30816, 31680, 26010, 27870, 25956, 30498, 28746, 27528, 27786, 25500, 27162, 27396, 30084, 29286, 29166, 24144, 27666, 29034, 23052, 26688, 31002, 26646, 27444, 27816]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run4.log,1,Small,26745,11534,61,"[0, 26952, 27822, 27462, 29622, 26082, 26274, 31002, 26562, 30060, 25878, 23166, 28230, 26598, 26406, 28158, 30318, 25062, 26424, 29730, 28818, 30234, 24078, 27378, 29418, 28416, 26742, 27942, 27912, 29826, 22938, 20598, 31356, 29202, 29790, 27384, 22410, 25782, 25158, 27012, 31188, 28662, 23472, 26172, 26322, 23868, 29838, 28794, 24876, 27696, 25428, 25920, 27618, 26748, 25224, 28980, 25962, 28086, 27300, 27366, 29118]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run5.log,1,Small,24461,10463,61,"[0, 22176, 27954, 25908, 25512, 29244, 26454, 23664, 28872, 24498, 21966, 29628, 23034, 28494, 23910, 23106, 24720, 24150, 26940, 23268, 28140, 22578, 22362, 25020, 28344, 28218, 26856, 25896, 25038, 22476, 26604, 16938, 27198, 20994, 28338, 25176, 27180, 23748, 24720, 25140, 24108, 26784, 23664, 22962, 18222, 18696, 17820, 23028, 25812, 26982, 24372, 27462, 26922, 26214, 27552, 26430, 20880, 27432, 27828, 24702, 29154]"
